# run_id=p22h_20260802_003549_61475 source_commit=819ef645ae90ab7ee0cf4e16415af2b23b165d91 main_exe=f3a26be665391863525a9f7eddfabe20f0d25eabc43fb321ca96e027b2da3856 raw_ext=70abc063dae99c95e7d9d7a44db5117c9512a430078c2672ecae9e28c3616414 runtime_sha=PENDING module_id=UNKNOWN_NOT_EXPOSED runtime_base=0x0 helper=0x0 ERW=0x0 P=UNKNOWN_NOT_EXPOSED gen=UNKNOWN_NOT_EXPOSED owner=UNKNOWN_NOT_EXPOSED gaps=none
sequence,stage,helper,method,caller_module,caller_module_id,caller_pc,branch_insn,branch_reg,source_mem,LR,continuation,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,SP,CPSR,ERW,P,generation,return_value,host_fn,source
9,THUNK_ENTER,0x2E3099,6,gamelist.ext,0x4,0x2E3098,helper_pc,-1,0x0,0x89BF0,0x89BF0,0x2AC8EC,0x6,0x1,0x7B0,0x2A8264,0x1,0x7B0,0x280670,0x6,0x280400,0x800,0x9,0x2E3099,0x27F8D8,0x600001F3,0x2AF58,0x2AC8EC,1,0,,NATIVE_GUEST
10,THUNK_ENTER,0x2E3099,0,gamelist.ext,0x4,0x2E3098,helper_pc,-1,0x0,0x89BF0,0x89BF0,0x2AC8EC,0x0,0x2AD964,0x0,0x2A8264,0x2AD964,0x0,0x280670,0x0,0x280400,0x40,0x2AD96C,0x2E3099,0x27F8D8,0x600001F3,0x2AF58,0x2AC8EC,1,0,,NATIVE_GUEST
11,THUNK_ENTER,0x2E3099,1,gamelist.ext,0x4,0x2E3098,helper_pc,-1,0x0,0x89BF0,0x89BF0,0x2AC8EC,0x1,0x2A835C,0xC,0x2A8264,0x2A835C,0xC,0x280670,0x1,0x280400,0x60,0x2A8364,0x2E3099,0x27F8D8,0x600001F3,0x2AF58,0x2AC8EC,1,0,,NATIVE_GUEST
13,THUNK_RETURN,0x2E3099,1,gamelist.ext,0x4,0x2E3098,return,-1,0x0,0x89BF0,0x89BF0,0x2AC8EC,0x1,0x2A835C,0xC,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x27F8D8,0x600001F3,0x2AF58,0x2AC8EC,1,0,,NATIVE_GUEST
14,CALLER_RESUME,0x2E3099,1,cfunction.ext,0x8,0x89BF0,resume,-1,0x0,0x89BF0,0x89BF0,0x2AC8EC,0x1,0x2A835C,0xC,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x27F8D8,0x600001F3,0x2AF58,0x2AC8EC,1,0,,NATIVE_GUEST
15,THUNK_RETURN,0x2E3099,1,gamelist.ext,0x4,0x2E3098,return,-1,0x0,0x89BF0,0x89BF0,0x2AC8EC,0x1,0x2A835C,0xC,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x27F8D8,0x600001F3,0x2AF58,0x2AC8EC,1,0,,NATIVE_GUEST
16,CALLER_RESUME,0x2E3099,1,cfunction.ext,0x8,0x89BF0,resume,-1,0x0,0x89BF0,0x89BF0,0x2AC8EC,0x1,0x2A835C,0xC,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x27F8D8,0x600001F3,0x2AF58,0x2AC8EC,1,0,,NATIVE_GUEST
17,THUNK_ENTER,0x2E3099,2,HOST,0x0,0x28025C,Host_runCode,-1,0x0,0xA2548,0xA2548,0x2AC8EC,0x2,0x0,0x0,0x27FB50,0x30CFF9,0x280600,0x280600,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FB48,0x800001D3,0x682B8C,0x2AC8EC,1,0,bridge_ext_helper_call,HOST_timer_FIRE_EXT
19,THUNK_ENTER,0x2E3099,2,gamelist.ext,0x4,0x2E3098,helper_pc,-1,0x0,0x80000,0x80000,0x2AC8EC,0x2,0x0,0x0,0x27FB50,0x30CFF9,0x280600,0x280600,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FB48,0x800001F3,0x2AF58,0x2AC8EC,1,0,,NATIVE_GUEST
20,THUNK_RETURN,0x2E3099,2,HOST,0x0,0x28025C,return,-1,0x0,0xA2548,0xA2548,0x2AC8EC,0x2,0x0,0x0,0x27FB50,0x30CFF9,0x280600,0x280600,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FB48,0x800001D3,0x682B8C,0x2AC8EC,1,0,bridge_ext_helper_call,HOST_timer_FIRE_EXT
21,CALLER_RESUME,0x2E3099,2,HOST,0x8,0xA2548,resume,-1,0x0,0xA2548,0xA2548,0x2AC8EC,0x2,0x0,0x0,0x27FB50,0x30CFF9,0x280600,0x280600,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FB48,0x800001D3,0x682B8C,0x2AC8EC,1,0,bridge_ext_helper_call,HOST_timer_FIRE_EXT
23,THUNK_RETURN,0x2E3099,1,HOST,0x0,0x28025C,return,-1,0x0,0xA2548,0xA2548,0x2AC8EC,0x2,0x0,0x0,0x27FB50,0x30CFF9,0x280600,0x280600,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FB48,0x800001D3,0x682B8C,0x2AC8EC,1,0,bridge_ext_helper_call,HOST_timer_FIRE_EXT
24,CALLER_RESUME,0x2E3099,1,HOST,0x8,0xA2548,resume,-1,0x0,0xA2548,0xA2548,0x2AC8EC,0x2,0x0,0x0,0x27FB50,0x30CFF9,0x280600,0x280600,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FB48,0x800001D3,0x682B8C,0x2AC8EC,1,0,bridge_ext_helper_call,HOST_timer_FIRE_EXT
25,THUNK_RETURN,0x2E3099,1,HOST,0x0,0x28025C,return,-1,0x0,0xA2548,0xA2548,0x2AC8EC,0x2,0x0,0x0,0x27FB50,0x30CFF9,0x280600,0x280600,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FB48,0x800001D3,0x682B8C,0x2AC8EC,1,0,bridge_ext_helper_call,HOST_timer_FIRE_EXT
26,CALLER_RESUME,0x2E3099,1,HOST,0x8,0xA2548,resume,-1,0x0,0xA2548,0xA2548,0x2AC8EC,0x2,0x0,0x0,0x27FB50,0x30CFF9,0x280600,0x280600,0x2EB800,0x682B8C,0x23F40,0x2EB814,0x8E8F8,0x27FB48,0x800001D3,0x682B8C,0x2AC8EC,1,0,bridge_ext_helper_call,HOST_timer_FIRE_EXT
