
�����

  Э��  ���ص�ַ          �ⲿ��ַ        ״̬           PID
  TCP    0.0.0.0:7              0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:9              0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:13             0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:17             0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:19             0.0.0.0:0              LISTENING       6352
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1652
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1024           0.0.0.0:0              LISTENING       7664
  TCP    0.0.0.0:1025           0.0.0.0:0              LISTENING       7548
  TCP    0.0.0.0:1027           0.0.0.0:0              LISTENING       1228
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       3584
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       2028
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       9264
  TCP    0.0.0.0:5471           0.0.0.0:0              LISTENING       31036
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1328
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1144
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2296
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2852
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4316
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       6132
  TCP    0.0.0.0:65532          0.0.0.0:0              LISTENING       18716
  TCP    127.0.0.1:4001         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:4301         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:4310         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:4535         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:4537         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:4709         0.0.0.0:0              LISTENING       31036
  TCP    127.0.0.1:5037         0.0.0.0:0              LISTENING       22692
  TCP    127.0.0.1:5283         0.0.0.0:0              LISTENING       12340
  TCP    127.0.0.1:5284         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:6459         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:6832         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:6860         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:6873         0.0.0.0:0              LISTENING       18716
  TCP    127.0.0.1:6873         127.0.0.1:6875         ESTABLISHED     18716
  TCP    127.0.0.1:6875         127.0.0.1:6873         ESTABLISHED     18716
  TCP    127.0.0.1:6878         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6879         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:6982         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7005         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:7024         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7040         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:7042         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7056         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:7059         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:7062         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7064         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7066         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7068         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7074         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:7075         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7188         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:7190         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:7195         127.0.0.1:18789        TIME_WAIT       0
  TCP    127.0.0.1:7196         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7198         127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:7208         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:7210         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7211         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7212         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7214         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7220         127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:7235         127.0.0.1:65532        TIME_WAIT       0
  TCP    127.0.0.1:7236         127.0.0.1:65532        ESTABLISHED     12340
  TCP    127.0.0.1:7239         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:7240         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:7241         127.0.0.1:18789        TIME_WAIT       0
  TCP    127.0.0.1:7242         127.0.0.1:65532        ESTABLISHED     20996
  TCP    127.0.0.1:7244         127.0.0.1:65532        ESTABLISHED     12340
  TCP    127.0.0.1:7246         127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:7256         127.0.0.1:65532        ESTABLISHED     13392
  TCP    127.0.0.1:7257         127.0.0.1:65532        ESTABLISHED     18136
  TCP    127.0.0.1:7258         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:7259         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:7260         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:7261         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:7262         127.0.0.1:65532        ESTABLISHED     17108
  TCP    127.0.0.1:7269         127.0.0.1:65532        ESTABLISHED     20960
  TCP    127.0.0.1:7271         127.0.0.1:9210         TIME_WAIT       0
  TCP    127.0.0.1:7281         127.0.0.1:65532        ESTABLISHED     20960
  TCP    127.0.0.1:7283         127.0.0.1:65532        ESTABLISHED     20960
  TCP    127.0.0.1:9210         0.0.0.0:0              LISTENING       16344
  TCP    127.0.0.1:9410         0.0.0.0:0              LISTENING       12368
  TCP    127.0.0.1:11540        127.0.0.1:18789        ESTABLISHED     21912
  TCP    127.0.0.1:11546        127.0.0.1:18789        ESTABLISHED     27500
  TCP    127.0.0.1:11547        127.0.0.1:18789        ESTABLISHED     27500
  TCP    127.0.0.1:13330        127.0.0.1:13331        ESTABLISHED     22692
  TCP    127.0.0.1:13331        127.0.0.1:13330        ESTABLISHED     22692
  TCP    127.0.0.1:13332        127.0.0.1:13333        ESTABLISHED     22692
  TCP    127.0.0.1:13333        127.0.0.1:13332        ESTABLISHED     22692
  TCP    127.0.0.1:14355        127.0.0.1:49853        ESTABLISHED     17108
  TCP    127.0.0.1:14520        0.0.0.0:0              LISTENING       28588
  TCP    127.0.0.1:18789        0.0.0.0:0              LISTENING       27500
  TCP    127.0.0.1:18789        127.0.0.1:11540        ESTABLISHED     27500
  TCP    127.0.0.1:18789        127.0.0.1:11546        ESTABLISHED     27500
  TCP    127.0.0.1:18789        127.0.0.1:11547        ESTABLISHED     27500
  TCP    127.0.0.1:18790        0.0.0.0:0              LISTENING       21912
  TCP    127.0.0.1:41303        0.0.0.0:0              LISTENING       7548
  TCP    127.0.0.1:49853        0.0.0.0:0              LISTENING       20996
  TCP    127.0.0.1:49853        127.0.0.1:14355        ESTABLISHED     20996
  TCP    127.0.0.1:50158        0.0.0.0:0              LISTENING       26996
  TCP    127.0.0.1:57973        0.0.0.0:0              LISTENING       7664
  TCP    127.0.0.1:59575        0.0.0.0:0              LISTENING       7664
  TCP    127.0.0.1:65532        127.0.0.1:4537         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6459         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6832         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6860         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:6941         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:6982         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:7005         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7040         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7056         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7059         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7065         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:7067         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:7074         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7188         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7190         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7191         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:7208         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7213         TIME_WAIT       0
  TCP    127.0.0.1:65532        127.0.0.1:7236         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7239         ESTABLISHED     18716
  TCP    127.0.0.1:65532        127.0.0.1:7240         ESTABLISHED     18716
