
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      4,256 K
Secure System                   88 Services                   0     40,536 K
Registry                       156 Services                   0     95,428 K
smss.exe                       696 Services                   0      1,148 K
csrss.exe                      780 Services                   0      5,244 K
wininit.exe                   1144 Services                   0      6,080 K
csrss.exe                     1156 Console                    1     12,696 K
services.exe                  1228 Services                   0     13,436 K
winlogon.exe                  1256 Console                    1     12,424 K
LsaIso.exe                    1308 Services                   0      3,064 K
lsass.exe                     1328 Services                   0     24,504 K
svchost.exe                   1460 Services                   0     37,900 K
fontdrvhost.exe               1480 Services                   0      4,268 K
fontdrvhost.exe               1488 Console                    1     21,412 K
WUDFHost.exe                  1536 Services                   0      6,600 K
svchost.exe                   1652 Services                   0     19,416 K
svchost.exe                   1804 Services                   0     10,832 K
WUDFHost.exe                  1832 Services                   0      5,936 K
WUDFHost.exe                  1904 Services                   0      5,276 K
svchost.exe                   2028 Services                   0     11,756 K
svchost.exe                   1268 Services                   0      7,440 K
svchost.exe                    816 Services                   0      7,408 K
svchost.exe                   1404 Services                   0     10,776 K
svchost.exe                   1348 Services                   0      5,424 K
svchost.exe                   1716 Services                   0     12,508 K
svchost.exe                   2164 Services                   0      9,780 K
svchost.exe                   2224 Services                   0     11,000 K
svchost.exe                   2232 Services                   0     12,504 K
svchost.exe                   2296 Services                   0     17,272 K
svchost.exe                   2444 Services                   0      8,432 K
svchost.exe                   2480 Services                   0      7,896 K
svchost.exe                   2496 Services                   0      6,368 K
svchost.exe                   2704 Services                   0     12,176 K
svchost.exe                   2712 Services                   0      8,980 K
svchost.exe                   2740 Services                   0      6,912 K
svchost.exe                   2764 Services                   0     11,276 K
dwm.exe                       2900 Console                    1    108,960 K
svchost.exe                   2932 Services                   0      7,592 K
svchost.exe                   3012 Services                   0     13,028 K
svchost.exe                   2852 Services                   0     17,344 K
svchost.exe                   2860 Services                   0      9,584 K
svchost.exe                   3148 Services                   0     10,424 K
svchost.exe                   3160 Services                   0     13,420 K
svchost.exe                   3200 Services                   0     19,864 K
HipsDaemon.exe                3236 Services                   0     24,716 K
svchost.exe                   3248 Services                   0     27,324 K
HrASDaemon.exe                3300 Services                   0      9,504 K
svchost.exe                   3464 Services                   0      6,240 K
svchost.exe                   3568 Services                   0      8,248 K
vmms.exe                      3584 Services                   0     31,304 K
svchost.exe                   3620 Services                   0     10,488 K
svchost.exe                   3832 Services                   0     13,132 K
svchost.exe                   3872 Services                   0      6,636 K
svchost.exe                   3892 Services                   0      7,864 K
svchost.exe                   4228 Services                   0      6,740 K
svchost.exe                   4316 Services                   0      8,924 K
svchost.exe                   4500 Services                   0     15,224 K
svchost.exe                   4540 Services                   0      7,220 K
atiesrxx.exe                  4856 Services                   0      6,728 K
amdfendrsr.exe                4864 Services                   0      7,044 K
svchost.exe                   4892 Services                   0      9,868 K
svchost.exe                   4996 Services                   0      8,200 K
vmcompute.exe                 5084 Services                   0     11,912 K
svchost.exe                   3936 Services                   0      5,944 K
svchost.exe                   4396 Services                   0     10,828 K
atieclxx.exe                  4328 Console                    1     16,860 K
svchost.exe                   5060 Services                   0      8,316 K
svchost.exe                   5052 Services                   0     10,816 K
svchost.exe                   5732 Services                   0     15,096 K
svchost.exe                   5840 Services                   0      9,284 K
ctfmon.exe                    5920 Console                    1     31,876 K
svchost.exe                   5948 Services                   0     23,676 K
svchost.exe                   5968 Services                   0     10,684 K
svchost.exe                   6048 Services                   0     18,584 K
svchost.exe                   6084 Services                   0     14,052 K
spoolsv.exe                   6132 Services                   0     13,728 K
svchost.exe                   5516 Services                   0     14,984 K
svchost.exe                   5352 Services                   0      9,384 K
DAX3API.exe                   6148 Services                   0     15,688 K
AdminService.exe              6156 Services                   0      8,596 K
svchost.exe                   6164 Services                   0     10,528 K
LenovoPcManagerService.ex     6172 Services                   0     11,668 K
svchost.exe                   6180 Services                   0     42,116 K
ldplayerservice.exe           6192 Services                   0      5,232 K
ELANFPService.exe             6200 Services                   0      4,836 K
